datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2015-09-26,2605,14.038654109278484,house,5,2015,9
2015-09-26,2603,14.122995257712235,house,5,2015,9
2015-09-26,2603,14.151982794585487,house,4,2015,9
2015-09-27,2604,13.866678844538674,house,4,2015,9
2015-09-29,2906,12.815838217151068,house,3,2015,9
2015-09-29,2615,13.081541382884074,house,4,2015,9
2015-09-29,2903,13.16158409055761,house,3,2015,9
2015-09-29,2617,13.184398768323781,house,3,2015,9
2015-09-29,2903,13.222208712374044,house,4,2015,9
2015-09-29,2614,13.235692062711331,house,3,2015,9
2015-09-29,2914,13.41577898170387,house,4,2015,9
2015-09-29,2913,13.579788224443204,house,4,2015,9
2015-09-30,2906,12.89921982609012,house,3,2015,9
2015-09-30,2615,12.999065161059836,house,3,2015,9
2015-09-30,2914,13.112313041550827,house,4,2015,9
2015-09-30,2906,13.142264039110666,house,3,2015,9
2015-09-30,2905,13.253391639810733,house,5,2015,9
2015-09-30,2913,13.312983737012978,house,4,2015,9
2015-09-30,2611,13.444446876573442,house,4,2015,9
2015-09-30,2902,13.487006490992238,house,4,2015,9
2015-09-30,2914,13.592367006650065,house,4,2015,9
2015-09-30,2612,13.9108207377686,house,3,2015,9
2015-09-30,2612,13.955272500339433,house,4,2015,9
2015-10-01,2615,12.785491060761776,house,2,2015,10
2015-10-01,2914,13.480037821676145,house,4,2015,10
2015-10-01,2605,13.5985975564007,house,3,2015,10
2015-10-01,2605,13.764217263576723,house,5,2015,10
2015-10-02,2902,12.89921982609012,house,3,2015,10
2015-10-02,2615,13.028052697933088,house,3,2015,10
2015-10-02,2617,13.071070083016778,house,3,2015,10
2015-10-02,2606,13.270783382522602,house,3,2015,10
2015-10-02,2911,13.764217263576723,house,4,2015,10
2015-10-03,2913,13.199324418540456,house,3,2015,10
2015-10-03,2913,13.312983737012978,house,4,2015,10
2015-10-03,2602,13.465953081794405,house,3,2015,10
2015-10-06,2914,12.577636201962656,house,4,2015,10
2015-10-06,2913,13.060487973686241,house,3,2015,10
2015-10-06,2913,13.103995720046143,house,3,2015,10
2015-10-06,2913,13.231576462377646,house,4,2015,10
2015-10-06,2601,13.560618308335483,house,2,2015,10
2015-10-06,2903,13.698976741708323,house,5,2015,10
2015-10-07,2906,12.959844447906553,house,3,2015,10
2015-10-07,2612,13.049792684569493,house,2,2015,10
2015-10-07,2602,13.407542319637992,house,3,2015,10
2015-10-07,2913,13.493926933836812,house,5,2015,10
2015-10-07,2602,13.579788224443204,house,4,2015,10
2015-10-07,2611,13.603554196040628,house,4,2015,10
2015-10-08,2615,12.984250075274694,house,3,2015,10
2015-10-08,2615,13.038981768465277,house,3,2015,10
2015-10-08,2614,13.038981768465277,house,3,2015,10
2015-10-08,2914,13.060487973686241,house,4,2015,10
2015-10-08,2905,13.124860257602917,house,4,2015,10
2015-10-08,2914,13.16158409055761,house,4,2015,10
2015-10-08,2913,13.178743710840436,house,3,2015,10
2015-10-08,2617,13.199324418540456,house,4,2015,10
2015-10-08,2904,13.217673557208654,house,4,2015,10
2015-10-08,2611,13.22762388806182,house,4,2015,10
2015-10-08,2914,13.289571296388235,house,4,2015,10
2015-10-08,2614,13.312983737012978,house,3,2015,10
2015-10-08,2611,13.39239051461739,house,3,2015,10
2015-10-08,2914,13.463112170792803,house,4,2015,10
2015-10-09,2914,13.017002861746503,house,3,2015,10
2015-10-09,2902,13.17115354157376,house,4,2015,10
2015-10-09,2902,13.199324418540456,house,4,2015,10
2015-10-09,2607,13.221303325259232,house,3,2015,10
2015-10-09,2906,13.36138027787483,house,4,2015,10
2015-10-09,2913,13.704578997256993,house,4,2015,10
2015-10-09,2600,13.864300722133706,house,3,2015,10
2015-10-10,2615,12.92391243868049,house,2,2015,10
2015-10-10,2615,13.060487973686241,house,3,2015,10
2015-10-10,2617,13.199324418540456,house,4,2015,10
2015-10-10,2604,13.210374254727043,house,3,2015,10
2015-10-10,2614,13.270783382522602,house,3,2015,10
2015-10-10,2615,13.304684934198283,house,4,2015,10
2015-10-10,2906,13.321214236149494,house,4,2015,10
2015-10-10,2606,13.38472764187182,house,3,2015,10
2015-10-10,2914,13.388566418178986,house,4,2015,10
2015-10-10,2913,13.41652441595382,house,4,2015,10
2015-10-10,2607,13.41652441595382,house,3,2015,10
2015-10-10,2602,13.42984807715229,house,3,2015,10
2015-10-10,2904,13.480037821676145,house,4,2015,10
2015-10-10,2607,13.637579349471613,house,4,2015,10
2015-10-10,2913,13.754698418567516,house,5,2015,10
2015-10-10,2602,13.795307850646754,house,4,2015,10
2015-10-10,2605,13.81049801614073,house,3,2015,10
2015-10-11,2914,13.981024996441848,house,4,2015,10
2015-10-12,2615,12.983101310070822,house,3,2015,10
2015-10-12,2903,13.028052697933088,house,3,2015,10
2015-10-12,2905,13.112313041550827,house,3,2015,10
2015-10-12,2611,13.287877815881902,house,4,2015,10
2015-10-12,2911,13.652991628466498,house,4,2015,10
2015-10-12,2602,13.937728190688523,house,4,2015,10
2015-10-13,2615,12.866179972011919,house,3,2015,10
2015-10-13,2611,13.081541382884074,house,3,2015,10
2015-10-13,2914,13.226723392728571,house,4,2015,10
2015-10-13,2904,13.235692062711331,house,4,2015,10
2015-10-13,2606,13.329377546788654,house,3,2015,10
2015-10-13,2913,13.36138027787483,house,4,2015,10
2015-10-13,2912,13.38472764187182,house,4,2015,10
2015-10-13,2607,13.507625778194974,house,4,2015,10
2015-10-13,2602,13.532321045502247,house,3,2015,10
2015-10-13,2914,13.567049198665774,house,4,2015,10
2015-10-13,2602,13.624350052503114,house,3,2015,10
2015-10-13,2913,13.676248490630767,house,5,2015,10
2015-10-13,2600,14.291744736960645,house,4,2015,10
2015-10-14,2905,12.9384405392434,house,3,2015,10
2015-10-14,2906,12.959844447906553,house,3,2015,10
2015-10-14,2905,13.017002861746503,house,3,2015,10
2015-10-14,2902,13.071070083016778,house,3,2015,10
2015-10-14,2614,13.081541382884074,house,3,2015,10
2015-10-14,2615,13.180632285528304,house,4,2015,10
2015-10-14,2906,13.184398768323781,house,3,2015,10
2015-10-14,2614,13.208541073645382,house,3,2015,10
2015-10-14,2615,13.36138027787483,house,4,2015,10
