,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
6108,18,0,3,2007,11,12.992254692057308,12.759957758756611,12.86099861326992,12.791077667470416,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
6243,18,0,4,2007,11,13.31710745419684,13.0080742310022,12.948009990259552,13.281578011610929,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
6560,19,0,4,2007,11,13.132313708257495,13.020884208454476,13.16158409055761,13.255633129107087,13.250459991861986,13.239520597012769,13.21938138964173,13.196590226784682
6847,20,0,4,2007,11,13.235692062711331,13.233904752137237,13.279367126213993,13.215853720491667,13.330911207252779,13.325440566267908,13.310164171269392,13.298888981114336
7087,21,0,3,2007,11,12.807652632564631,12.86099861326992,12.769964990232857,12.70076888736628,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
7510,22,0,3,2007,11,12.774223335915432,12.6132030329574,12.72486643894534,12.628067055589549,12.577636201962656,12.925453058723255,12.910904916517202,12.897717760052055
7649,22,0,4,2007,11,13.296316684527769,13.081541382884074,13.287876986929104,13.28702378200423,13.284049639660493,13.277252968185289,13.26084450089276,13.246513279325166
8012,24,0,1,2007,11,12.637855061955712,12.543436943048139,12.637855061955712,13.229958310226356,13.227322350426837,13.221756930054593,13.216973045246451,13.198091075432924
8360,25,0,3,2007,11,12.80765263256463,12.813117127036708,13.009641713008701,13.007967084441798,13.003794204466123,12.992038692445291,12.967606449445613,12.951623690346755
33,0,0,3,2007,12,13.623138665316818,13.776176942814914,13.773679267978357,13.771697483654355,13.761694255356232,13.738728048482427,13.698565172424123,13.641490002971608
566,2,0,2,2007,12,12.464583340681674,13.116345305078768,13.252074791416568,13.251552846811068,13.250399054022969,13.2209922268662,13.219547668846007,13.204087297118516
647,2,0,3,2007,12,13.172105469299142,13.345506928718537,13.132313708257495,13.06048797368624,13.423654486745512,13.41229111096672,13.387364192885439,13.36331055968262
2268,5,0,4,2007,12,13.36138027787483,13.554145793829866,13.672983313630443,13.67206705011861,13.666708890153265,13.655619002578932,13.622419834486076,13.590243371416449
2547,6,0,3,2007,12,12.7868906411162,13.36295384232226,13.335761274794068,13.332594572606038,13.32295836950649,13.306919608026675,13.275109096070278,13.238258589203333
3246,7,1,2,2007,12,12.54236629477704,12.638850519722427,12.638873876127422,12.639252665635523,12.640613813727436,12.636194272376512,12.660290073522816,12.640395527856128
3932,10,0,4,2007,12,13.91535589293399,13.732128949025222,13.652991628466498,13.912995905263873,13.904881339424529,13.877882616152727,13.825972904938924,13.770330497747583
4038,10,1,1,2007,12,12.768541502448002,12.786294837335042,12.787628939702095,12.787841954325751,12.786536892885549,12.784688183058895,12.777990407758749,12.782120441901274
4826,12,0,3,2007,12,12.712890247898626,12.83667930761522,12.815838217151068,12.988487080870962,12.984564204997316,12.97505285029708,12.953678652749193,12.936727566147516
5101,12,0,5,2007,12,13.742939865129438,13.190022025878145,13.347907302087513,13.347665073073328,13.342619815249938,13.325428425057453,13.305425142468126,13.278814653788588
6074,17,1,3,2007,12,12.976180867226248,13.034481385931807,13.039322993490426,13.043721271759479,13.025728534612076,12.97290695446008,13.216973045246451,13.198091075432924
6109,18,0,3,2007,12,12.948009990259552,12.992254692057308,12.759957758756611,12.86099861326992,13.019106263544833,13.01238066824983,12.995684403261208,12.983887652959897
7088,21,0,3,2007,12,12.845731141139133,12.807652632564631,12.86099861326992,12.769964990232857,12.987280592754974,12.979763744040518,12.961663272519598,12.948609319155338
